                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.2007,                0.73269,                0.96052,                0.89515,                  0.899,                0.92709,                0.43614,                 1.7706,                 0.8394,                 1.2196,             0.00022376,             0.00022376,             0.00022376
                    123,                 1.2284,                0.63024,                 0.9817,                0.88307,                0.87477,                0.91126,                 0.4411,                 1.7495,                0.85439,                  1.216,             0.00021642,             0.00021642,             0.00021642
                    124,                 1.2413,                0.63937,                0.98526,                0.89281,                0.86929,                0.88739,                 0.4313,                 1.7335,                 0.8349,                 1.2137,             0.00020909,             0.00020909,             0.00020909
                    125,                 1.2085,                0.62409,                0.97994,                0.88829,                0.86649,                0.88573,                0.44426,                 1.7257,                0.82235,                 1.2082,             0.00020176,             0.00020176,             0.00020176
                    126,                 1.2386,                0.62804,                0.97771,                 0.8952,                0.87241,                0.90493,                0.43553,                  1.762,                0.83512,                  1.224,             0.00019442,             0.00019442,             0.00019442
                    127,                 1.2023,                0.62048,                0.97235,                0.90211,                0.87552,                0.90361,                0.43121,                 1.7449,                0.83896,                 1.2149,             0.00018709,             0.00018709,             0.00018709
                    128,                  1.213,                0.62928,                 0.9748,                0.89412,                0.88702,                0.89518,                 0.4321,                 1.7342,                0.83785,                 1.2119,             0.00017976,             0.00017976,             0.00017976
                    129,                 1.2188,                0.63165,                0.97863,                0.90477,                0.87677,                0.89254,                0.43498,                 1.7546,                0.82775,                 1.2199,             0.00017243,             0.00017243,             0.00017243
                    130,                  1.237,                0.62834,                0.97892,                0.88356,                0.86972,                0.88893,                0.43189,                 1.7649,                 0.8382,                 1.2325,             0.00016509,             0.00016509,             0.00016509
                    131,                 1.1753,                0.60361,                0.96843,                0.89431,                0.90499,                0.91489,                0.43446,                 1.7877,                0.84722,                 1.2485,             0.00015776,             0.00015776,             0.00015776
                    132,                 1.1867,                 0.6183,                0.97789,                0.89628,                0.89235,                0.91721,                0.44048,                 1.7736,                0.85178,                 1.2394,             0.00015043,             0.00015043,             0.00015043
                    133,                 1.2043,                0.62111,                0.98121,                0.89446,                0.89487,                0.91666,                 0.4403,                 1.7578,                0.84334,                 1.2275,              0.0001431,              0.0001431,              0.0001431
                    134,                    1.2,                 0.6144,                0.96598,                0.89591,                0.87672,                0.90437,                0.43463,                  1.765,                 0.8469,                 1.2317,             0.00013576,             0.00013576,             0.00013576
                    135,                 1.2022,                0.62081,                0.97952,                0.91469,                 0.8742,                0.90722,                 0.4472,                 1.7555,                 0.8344,                 1.2199,             0.00012843,             0.00012843,             0.00012843
                    136,                 1.1651,                0.60293,                0.96868,                0.91221,                0.86769,                0.91054,                0.44334,                 1.7622,                0.84242,                 1.2286,              0.0001211,              0.0001211,              0.0001211
                    137,                 1.2215,                0.64828,                0.98253,                0.91015,                0.89203,                0.92035,                0.45254,                 1.7645,                0.83738,                 1.2334,             0.00011377,             0.00011377,             0.00011377
